City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,taksimo,56.3444,114.8794,282.26,96,100,1.02,RU,1692474243
128,freeport,40.6576,-73.5832,300.65,50,75,7.72,US,1692474152
129,sao tome,0.3365,6.7273,298.17,83,75,3.09,ST,1692474244
130,nemuro,43.3236,145.575,291.64,100,100,3.28,JP,1692474245
131,taoudenni,22.6783,-3.9836,310.04,21,54,3.75,ML,1692474245
132,mildura,-34.2,142.15,279.3,91,0,2.66,AU,1692474246
133,carutapera,-1.195,-46.02,301.71,72,100,5.23,BR,1692474246
134,syktyvkar,61.6764,50.8099,282.0,93,0,3.13,RU,1692474247
135,keflavik,64.0049,-22.5624,287.39,77,0,3.6,IS,1692474247
136,mili,6.0815,171.735,300.13,81,100,5.15,MH,1692474247
137,lebu,-37.6167,-73.65,285.14,96,100,5.16,CL,1692474248
138,vigan,17.5747,120.3869,299.37,87,31,2.02,PH,1692474249
139,sitka,57.0531,-135.33,288.09,77,100,2.57,US,1692474250
140,viedma,-40.8135,-62.9967,281.59,69,100,10.03,AR,1692473974
141,pacific grove,36.6177,-121.9166,298.27,82,40,4.02,US,1692474250
142,enewetak,11.3474,162.3373,301.6,78,19,6.58,MH,1692474251
143,arenapolis,-14.4503,-56.8461,307.62,26,40,1.94,BR,1692474252
144,hamilton,39.1834,-84.5333,302.53,49,0,1.54,US,1692474252
145,howrah,22.5892,88.3103,301.15,89,40,1.54,IN,1692474253
146,oranjemund,-28.55,16.4333,285.5,85,0,3.31,NA,1692474253
147,buritis,-15.6178,-46.4233,305.47,23,27,1.42,BR,1692474254
148,salekhard,66.53,66.6019,279.48,82,2,3.86,RU,1692474254
149,nichinan,31.6,131.3667,298.97,92,89,0.74,JP,1692474254
150,alofi,-19.0595,-169.9187,297.09,88,81,3.6,NU,1692474255
151,winslow,35.0242,-110.6974,302.25,34,0,4.12,US,1692474255
152,shingu,33.7333,135.9833,298.55,93,7,1.52,JP,1692474255
153,vanimo,-2.6741,141.3028,297.4,92,100,0.84,PG,1692474256
154,kaspiyskiy,45.3929,47.3707,301.3,44,3,2.15,RU,1692474256
155,kokkola,63.8385,23.1307,289.22,94,0,0.0,FI,1692474256
156,margaret river,-33.95,115.0667,286.99,74,100,4.28,AU,1692474257
157,susuman,62.7833,148.1667,279.5,90,100,1.82,RU,1692474257
158,longyearbyen,78.2186,15.6401,280.06,81,75,4.12,SJ,1692474257
159,punta arenas,-53.15,-70.9167,277.21,87,75,4.12,CL,1692474216
160,ngetkib,7.3645,134.5148,299.67,82,100,5.74,PW,1692474257
161,strugi-krasnyye,58.2675,29.1114,290.57,97,86,2.1,RU,1692474246
162,new plymouth,-39.0667,174.0833,285.82,94,100,5.22,NZ,1692474347
163,monrovia,6.3005,-10.7969,299.02,88,76,3.33,LR,1692474258
